times(ps)|lambda_restraints|lambda_electrostatics|lambda_sterics|(0.0, 0.0, 0.0)|(1.0, 0.0, 0.0)
73.4|0.0|0.0|0.0|-134019.88785977225|-134019.1941748386
73.6|0.0|0.0|0.0|-133862.33700170895|-133861.8829533887
73.8|0.0|0.0|0.0|-134006.37121884272|-134002.2091092408
74.0|0.0|0.0|0.0|-134152.0452775644|-134151.54077943083
74.2|0.0|0.0|0.0|-134047.41016264036|-134045.11469613263
74.4|0.0|0.0|0.0|-134157.27416141337|-134155.63454247927
74.6|0.0|0.0|0.0|-134400.24609653934|-134398.12720437837
74.8|0.0|0.0|0.0|-134467.67967119158|-134464.26169633665
75.0|0.0|0.0|0.0|-134346.6253440418|-134342.75332086667
75.2|0.0|0.0|0.0|-134101.88658018687|-134100.63794730627
75.4|0.0|0.0|0.0|-134175.53069523454|-134174.09287555385
75.6|0.0|0.0|0.0|-134399.58365325574|-134394.72785872017
75.8|0.0|0.0|0.0|-134115.62407163274|-134114.21147685873
76.0|0.0|0.0|0.0|-134060.88602414055|-134055.28609485796
76.2|0.0|0.0|0.0|-134037.1855865026|-134036.45406420896
76.4|0.0|0.0|0.0|-133953.7392672144|-133948.82041041213
76.6|0.0|0.0|0.0|-134226.80240489324|-134225.84385843948
76.8|0.0|0.0|0.0|-134209.85728623864|-134208.7473903448
77.0|0.0|0.0|0.0|-134322.20902058436|-134321.55317301073
77.2|0.0|0.0|0.0|-134088.50070696877|-134086.7097385946
77.4|0.0|0.0|0.0|-134626.891566645|-134626.3113937914
77.6|0.0|0.0|0.0|-134507.77955730946|-134505.71111496186
77.8|0.0|0.0|0.0|-134270.55995837343|-134265.06092871752
78.0|0.0|0.0|0.0|-134038.56621838777|-134036.6995752936
78.2|0.0|0.0|0.0|-134021.96349018946|-134021.38331733586
78.4|0.0|0.0|0.0|-133950.14818087596|-133949.97160652923
78.6|0.0|0.0|0.0|-134160.10871059538|-134159.01142715485
78.8|0.0|0.0|0.0|-134305.35118125676|-134304.41785970968
79.0|0.0|0.0|0.0|-134247.18991795622|-134246.55929528925
79.2|0.0|0.0|0.0|-134406.32124173705|-134402.77714234873
79.4|0.0|0.0|0.0|-134743.4614166358|-134742.69205698208
79.6|0.0|0.0|0.0|-134614.51169369568|-134613.69188422864
79.8|0.0|0.0|0.0|-134455.37589594818|-134454.8713978146
80.0|0.0|0.0|0.0|-134423.47333516213|-134420.0931976672
80.2|0.0|0.0|0.0|-134536.27911782803|-134533.42870337339
80.4|0.0|0.0|0.0|-134564.78394385966|-134563.346124179
